u,theta,rho,vel
0,0,0.05,4.166666667
1.999166771,0.1,0.05,4.166666667
3.998333542,0.2,0.05,4.166666667
5.997500312,0.3,0.05,4.166666667
7.996667083,0.4,0.05,4.166666667
9.995833854,0.5,0.05,4.166666667
11.99500062,0.6,0.05,4.166666667
13.9941674,0.7,0.05,4.166666667
15.99333417,0.8,0.05,4.166666667
17.99250094,0.9,0.05,4.166666667
19.99166771,1,0.05,4.166666667
21.99083448,1.1,0.05,4.166666667
23.99000125,1.2,0.05,4.166666667
25.98916802,1.3,0.05,4.166666667
27.98833479,1.4,0.05,4.166666667
29.98750156,1.5,0.05,4.166666667
31.98666833,1.6,0.05,4.166666667
33.9858351,1.7,0.05,4.166666667
35.98500187,1.8,0.05,4.166666667
37.98416865,1.9,0.05,4.166666667
39.98333542,2,0.05,4.166666667
41.98250219,2.1,0.05,4.166666667
43.98166896,2.2,0.05,4.166666667
45.98083573,2.3,0.05,4.166666667
47.9800025,2.4,0.05,4.166666667
49.97916927,2.5,0.05,4.166666667
51.97833604,2.6,0.05,4.166666667
53.97750281,2.7,0.05,4.166666667
55.97666958,2.8,0.05,4.166666667
57.97583635,2.9,0.05,4.166666667
59.97500312,3,0.05,4.166666667
61.9741699,3.1,0.05,4.166666667
63.97333667,3.2,0.05,4.166666667
65.97250344,3.3,0.05,4.166666667
67.97167021,3.4,0.05,4.166666667
69.97083698,3.5,0.05,4.166666667
71.97000375,3.6,0.05,4.166666667
73.96917052,3.7,0.05,4.166666667
75.96833729,3.8,0.05,4.166666667
77.96750406,3.9,0.05,4.166666667
79.96667083,4,0.05,4.166666667
81.9658376,4.1,0.05,4.166666667
83.96500437,4.2,0.05,4.166666667
85.96417115,4.3,0.05,4.166666667
87.96333792,4.4,0.05,4.166666667
89.96250469,4.5,0.05,4.166666667
91.96167146,4.6,0.05,4.166666667
93.96083823,4.7,0.05,4.166666667
95.960005,4.8,0.05,4.166666667
97.95917177,4.9,0.05,4.166666667
99.95833854,5,0.05,4.166666667
101.9575053,5.1,0.05,4.166666667
103.9566721,5.2,0.05,4.166666667
105.9558389,5.3,0.05,4.166666667
107.9550056,5.4,0.05,4.166666667
109.9541724,5.5,0.05,4.166666667
111.9533392,5.6,0.05,4.166666667
113.9525059,5.7,0.05,4.166666667
115.9516727,5.8,0.05,4.166666667
117.9508395,5.9,0.05,4.166666667
119.9500062,6,0.05,4.166666667
121.949173,6.1,0.05,4.166666667
123.9483398,6.2,0.05,4.166666667
