u,theta_d,rho,vel
0,-6.283585382,-4.65E-06,16.66666667
0.1,-6.283589738,-2.18E-05,16.66666667
0.2,-6.283575941,6.87E-05,16.66666667
0.3,-6.283593094,-8.57E-05,16.66666667
0.4,-6.283606505,-6.74E-05,16.66666667
0.5,-6.283597224,4.66E-05,16.66666667
0.6,-6.283599623,-1.20E-05,16.66666667
0.7,-6.283579856,9.82E-05,16.66666667
0.8,-6.283587575,-3.85E-05,16.66666667
0.9,-6.283615245,-0.000138678,16.66666667
1,-6.283607501,3.89E-05,16.66666667
1.1,-6.283597152,5.17E-05,16.66666667
1.2,-6.283591032,3.05E-05,16.66666667
1.3,-6.283593711,-1.34E-05,16.66666667
1.4,-6.28362215,-0.000142779,16.66666667
1.5,-6.283606212,7.94E-05,16.66666667
1.6,-6.283603787,1.21E-05,16.66666667
1.7,-6.283617089,-6.67E-05,16.66666667
1.8,-6.283621477,-2.21E-05,16.66666667
1.9,-6.283619129,1.18E-05,16.66666667
2,-6.283597881,0.000105807,16.66666667
2.1,-6.283593538,2.16E-05,16.66666667
2.2,-6.283623967,-0.000151986,16.66666667
2.3,-6.28362688,-1.46E-05,16.66666667
2.4,-6.283607253,9.81E-05,16.66666667
2.5,-6.283608076,-4.10E-06,16.66666667
2.6,-6.283606014,1.03E-05,16.66666667
2.7,-6.2836276,-0.000108573,16.66666667
2.8,-6.283623715,1.95E-05,16.66666667
2.9,-6.283602197,0.000107148,16.66666667
3,-6.283625058,-0.000113977,16.66666667
3.1,-6.283629588,-2.27E-05,16.66666667
3.2,-6.283627099,1.25E-05,16.66666667
3.3,-6.28361889,4.09E-05,16.66666667
3.4,-6.283598472,0.000101682,16.66666667
3.5,-6.28362649,-0.000139858,16.66666667
3.6,-6.283631547,-2.53E-05,16.66666667
3.7,-6.283613806,8.89E-05,16.66666667
3.8,-6.283620357,-3.26E-05,16.66666667
3.9,-6.283613632,3.35E-05,16.66666667
4,-6.283635074,-0.000107799,16.66666667
4.1,-6.283629367,2.87E-05,16.66666667
4.2,-6.283600423,0.000144396,16.66666667
4.3,-6.283624015,-0.000117277,16.66666667
4.4,-6.283623121,4.47E-06,16.66666667
4.5,-6.283630873,-3.90E-05,16.66666667
4.6,-6.283636029,-2.58E-05,16.66666667
4.7,-6.283623122,6.42E-05,16.66666667
4.8,-6.283635657,-6.25E-05,16.66666667
4.9,-6.283615383,0.000101798,16.66666667
5,-6.28361229,1.55E-05,16.66666667
5.1,-6.283616983,-2.34E-05,16.66666667
5.2,-6.283615401,7.88E-06,16.66666667
5.3,-6.28363272,-8.69E-05,16.66666667
5.4,-6.283641326,-4.32E-05,16.66666667
5.5,-6.283610173,0.000155678,16.66666667
5.6,-6.283621767,-5.77E-05,16.66666667
5.7,-6.283621767,0,16.66666667
