u,theta_d,rho,vel
0,-0.02390116,-1.13E-01,16.66666667
0.066636563,-0.036208154,1.32E-01,16.66666667
0.108662161,-0.018573942,1.18E-02,16.66666667
0.200062344,-0.016309632,3.62E-03,16.66666667
0.300075645,-0.015585874,3.91E-03,16.66666667
0.400087793,-0.014802931,4.17E-03,16.66666667
0.50009875,-0.013968575,4.29E-03,16.66666667
0.600108507,-0.013109617,4.38E-03,16.66666667
0.700117101,-0.012232845,4.44E-03,16.66666667
0.800124583,-0.011344844,4.46E-03,16.66666667
0.900131019,-0.010452566,4.45E-03,16.66666667
1.000136482,-0.009562767,4.40E-03,16.66666667
1.100141054,-0.008682198,4.36E-03,16.66666667
1.200144823,-0.007810963,4.31E-03,16.66666667
1.300147874,-0.006949157,4.26E-03,16.66666667
1.400150289,-0.006096888,4.21E-03,16.66666667
1.500152147,-0.005254115,4.03E-03,16.66666667
1.600153528,-0.004447597,3.82E-03,16.66666667
1.700154517,-0.003684057,3.57E-03,16.66666667
1.800155195,-0.002970214,3.29E-03,16.66666667
1.900155636,-0.002312781,0.002971617,16.66666667
2.000155904,-0.001718456,2.62E-03,16.66666667
2.100156052,-0.00119393,0.002275585,16.66666667
2.200156123,-0.000738812,1.93E-03,16.66666667
2.30015615,-0.000353559,1.58E-03,16.66666667
2.400156156,-3.82E-05,1.27E-03,16.66666667
2.500156156,0.000215122,9.57E-04,16.66666667
2.600156159,0.000406458,0.00064741,16.66666667
2.700156167,0.00053594,3.39E-04,16.66666667
2.800156181,0.000603664,6.83E-05,16.66666667
2.9001562,0.00061733,-6.82E-05,16.66666667
3.000156219,0.000603695,-1.71E-04,16.66666667
3.100156237,0.00056947,-2.41E-04,16.66666667
3.200156253,0.000521354,-2.77E-04,16.66666667
3.300156267,0.000466042,-0.000279138,16.66666667
3.400156278,0.000410214,-0.000248317,16.66666667
3.500156286,0.000360551,-2.17E-04,16.66666667
3.600156292,0.000317079,-1.86E-04,16.66666667
3.700156297,0.000279825,-1.55E-04,16.66666667
3.800156301,0.000248845,-0.000161882,16.66666667
3.900156304,0.000216469,-0.000168361,16.66666667
4.000156307,0.000182797,-1.74E-04,16.66666667
4.100156308,0.000147925,-1.80E-04,16.66666667
