u,theta_d,rho,vel
0,-0.000623593,-8.54E-06,16.66666667
0.066493279,-0.000414492,-8.54E-06,16.66666667
0.166940387,-0.000416207,-2.29E-05,16.66666667
0.267362983,-0.000420802,-2.36E-05,16.66666667
0.367198599,-0.000425504,7.63E-06,16.66666667
0.466325938,-0.000423986,1.41E-05,16.66666667
0.566162147,-0.000421153,-1.38E-05,16.66666667
0.666976209,-0.000423936,-2.12E-05,16.66666667
0.767472803,-0.000428177,-1.63E-05,16.66666667
0.867431253,-0.000431421,-5.38E-06,16.66666667
0.966997969,-0.000432494,6.73E-06,16.66666667
1.066711099,-0.000431147,-1.11E-05,16.66666667
1.167133475,-0.000433375,-3.09E-05,16.66666667
1.267360425,-0.000439532,-3.20E-05,16.66666667
1.366634078,-0.000445909,-3.20E-05,16.66666667
1.466543695,-0.000484629,-4.36E-04,16.66666667
1.567333197,-0.000572125,-6.86E-04,16.66666667
1.667437885,-0.000709057,-9.99E-04,16.66666667
1.766809304,-0.000907483,-1.19E-03,16.66666667
1.866107451,-0.001144071,-1.55E-03,16.66666667
1.96645656,-0.001455537,-0.001920307,16.66666667
2.066928338,-0.001840847,-2.26E-03,16.66666667
2.167106852,-0.002293015,-0.002619201,16.66666667
2.267138258,-0.002816378,-2.80E-03,16.66666667
2.36692487,-0.003376831,-3.13E-03,16.66666667
2.4672015,-0.004004649,-3.69E-03,16.66666667
2.567625956,-0.004742832,-3.70E-03,16.66666667
2.66707224,-0.005477527,-0.003803639,16.66666667
2.766444632,-0.006236643,-3.98E-03,16.66666667
2.866648474,-0.007036543,-0.004465611,16.66666667
2.967268905,-0.007932263,-0.004634103,16.66666667
3.067230144,-0.008855446,-4.04E-03,16.66666667
3.166483807,-0.009660068,-3.99E-03,16.66666667
3.266423004,-0.010459374,-4.39E-03,16.66666667
3.366973804,-0.011341813,-0.004311567,16.66666667
3.467231494,-0.012205615,-0.004488388,16.66666667
3.567319262,-0.013102001,-3.89E-03,16.66666667
3.666943594,-0.013877989,-3.54E-03,16.66666667
3.766960281,-0.014589405,-4.63E-03,16.66666667
3.867711532,-0.015517151,-0.004236417,16.66666667
3.967486594,-0.016359944,-0.002940916,16.66666667
4.066651701,-0.016945159,-2.46E-03,16.66666667
4.166477355,-0.017437593,-2.94E-03,16.66666667
4.267135568,-0.018030088,-3.75E-03,16.66666667
4.367673145,-0.018779715,-1.98E-03,16.66666667
4.466891697,-0.019173276,-8.55E-04,16.66666667
4.566354833,-0.019344196,-0.001317437,16.66666667
4.666844939,-0.019609202,-0.002008341,16.66666667
4.767506987,-0.020011862,-0.001370509,16.66666667
4.867338866,-0.020284867,0.000279207,16.66666667
4.966706624,-0.02022914,0.000329165,16.66666667
5.066929594,-0.020162959,-0.000816498,16.66666667
5.16776404,-0.020326942,-0.000328912,16.66666667
5.267767491,-0.020392518,0.000978809,16.66666667
5.367135222,-0.020197659,0.001656258,16.66666667
5.466845068,-0.019866154,0.001449983,16.66666667
5.567288005,-0.019574519,0.000498324,16.66666667
5.667974812,-0.019474694,0.019317788,16.66666667
5.767609766,-0.015117206,-0.014287955,16.66666667
5.893543529,-0.018364622,-0.038867169,16.66666667
5.994893229,-0.025109793,-0.146428723,16.66666667
