u,theta_d,rho,vel,,u,delta_u,x,y,theta_d,,
0,0.000540239,0,16.66666667,,0,0,0.06661753,0.269503201,0.000540239,,deltau2—ñ–Ú‚ÍSQRT((H3-H2)^2+(I3-I2)^2)
0.1,0.000736931,0.001474642,16.66666667,,0.1,0.041998059,0.108615583,0.26952589,0.000736931,,"theta_d1—ñ–Ú‚ÍATAN2(H3-H2,I3-I2)"
0.2,0.00054125,-0.001022449,16.66666667,,0.2,0.091384442,0.2,0.269593234,0.00054125,,"theta_d2—ñ–Ú‚ÍIF(AND(ROW()>10000,ATAN2(H4-H3,I4-I3)>-1),ATAN2(H4-H3,I4-I3)-2*PI(),ATAN2(H4-H3,I4-I3))"
0.3,0.00055104,4.895E-05,16.66666667,,0.3,0.100000015,0.3,0.269647359,0.00055104,,rho2—ñ–Ú‚Í(J3-J2)/(G3+G4)
0.4,0.00055898,3.97E-05,16.66666667,,0.4,0.100000015,0.4,0.269702463,0.00055898,,
0.5,0.0005698,5.41E-05,16.66666667,,0.5,0.100000016,0.5,0.269758361,0.0005698,,
0.6,0.00058094,5.57E-05,16.66666667,,0.6,0.100000016,0.6,0.269815341,0.00058094,,
0.7,0.00058957,4.315E-05,16.66666667,,0.7,0.100000017,0.7,0.269873435,0.00058957,,
0.8,0.00059925,4.84E-05,16.66666667,,0.8,0.100000017,0.8,0.269932392,0.00059925,,
0.9,0.00060901,4.88E-05,16.66666667,,0.9,0.100000018,0.9,0.269992317,0.00060901,,
1,0.00061579,3.39E-05,16.66666667,,1,0.100000019,1,0.270053218,0.00061579,,
1.1,0.00062598,5.095E-05,16.66666667,,1.1,0.100000019,1.1,0.270114797,0.00062598,,
1.2,0.00063458,4.3E-05,16.66666667,,1.2,0.10000002,1.2,0.270177395,0.00063458,,
1.3,0.00064152,3.47E-05,16.66666667,,1.3,0.10000002,1.3,0.270240853,0.00064152,,
1.4,0.00064739,2.935E-05,16.66666667,,1.4,0.100000021,1.4,0.270305005,0.00064739,,
1.5,0.00065719,4.9E-05,16.66666667,,1.5,0.100000021,1.5,0.270369744,0.00065719,,
1.6,0.00066529,4.05E-05,16.66666667,,1.6,0.100000022,1.6,0.270435463,0.00066529,,
1.7,0.00067062,2.665E-05,16.66666667,,1.7,0.100000022,1.7,0.270501992,0.00067062,,
1.8,0.00067643,2.905E-05,16.66666667,,1.8,0.100000022,1.8,0.270569054,0.00067643,,
1.9,0.00068195,2.76E-05,16.66666667,,1.9,0.100000023,1.9,0.270636697,0.00068195,,
2,0.00069086,4.455E-05,16.66666667,,2,0.100000023,2,0.270704892,0.00069086,,
2.1,0.0006978,3.47E-05,16.66666667,,2.1,0.100000024,2.1,0.270773978,0.0006978,,
2.2,0.00070164,1.92E-05,16.66666667,,2.2,0.100000024,2.2,0.270843758,0.00070164,,
2.3,0.00070946,3.91E-05,16.66666667,,2.3,0.100000025,2.3,0.270913922,0.00070946,,
2.4,0.00071646,3.5E-05,16.66666667,,2.4,0.100000025,2.4,0.270984868,0.00071646,,
2.5,0.00072585,4.695E-05,16.66666667,,2.5,0.100000026,2.5,0.271056514,0.00072585,,
2.6,0.00073409,4.12E-05,16.66666667,,2.6,0.100000026,2.6,0.271129099,0.00073409,,
2.7,0.00073981,2.86E-05,16.66666667,,2.7,0.100000027,2.7,0.271202508,0.00073981,,
2.8,0.00075127,5.73E-05,16.66666667,,2.8,0.100000027,2.8,0.271276489,0.00075127,,
2.9,0.00076065,4.69E-05,16.66666667,,2.9,0.100000028,2.9,0.271351616,0.00076065,,
3,0.00076796,3.655E-05,16.66666667,,3,0.100000029,3,0.271427681,0.00076796,,
3.1,0.00077765,4.845E-05,16.66666667,,3.1,0.100000029,3.1,0.271504477,0.00077765,,
3.2,0.00078326,2.805E-05,16.66666667,,3.2,0.10000003,3.2,0.271582242,0.00078326,,
3.3,0.00077147,-5.89499E-05,16.66666667,,3.3,0.100000031,3.3,0.271660568,0.00077147,,
3.4,0.00072057,-0.0002545,16.66666667,,3.4,0.10000003,3.4,0.271737715,0.00072057,,
3.5,0.00063018,-0.00045195,16.66666667,,3.5,0.100000026,3.5,0.271809772,0.00063018,,
3.6,0.00054611,-0.00042035,16.66666667,,3.6,0.10000002,3.6,0.27187279,0.00054611,,
3.7,0.00047365,-0.0003623,16.66666667,,3.7,0.100000015,3.7,0.271927401,0.00047365,,
3.8,0.00041595,-0.0002885,16.66666667,,3.8,0.100000011,3.8,0.271974766,0.00041595,,
3.9,0.00037231,-0.0002182,16.66666667,,3.9,0.100000009,3.9,0.272016361,0.00037231,,
4,0.0003332,-0.00019555,16.66666667,,4,0.100000007,4,0.272053592,0.0003332,,
4.1,0.0003054,-0.000139,16.66666667,,4.1,0.100000006,4.1,0.272086912,0.0003054,,
4.2,0.00027253,-0.00016435,16.66666667,,4.2,0.100000005,4.2,0.272117452,0.00027253,,
4.3,0.0002435,-0.00014515,16.66666667,,4.3,0.100000004,4.3,0.272144705,0.0002435,,
4.4,0.00021214,-0.0001568,16.66666667,,4.4,0.100000003,4.4,0.272169055,0.00021214,,
4.5,0.00017388,-0.0001913,16.66666667,,4.5,0.100000002,4.5,0.272190269,0.00017388,,
4.6,0.00013886,-0.0001751,16.66666667,,4.6,0.100000002,4.6,0.272207657,0.00013886,,
4.7,9.69E-05,-0.0002098,16.66666667,,4.7,0.100000001,4.7,0.272221543,9.69E-05,,
4.8,5.279E-05,-0.00022055,16.66666667,,4.8,0.1,4.8,0.272231233,5.279E-05,,
4.9,1.229E-05,-0.0002025,16.66666667,,4.9,0.1,4.9,0.272236512,1.229E-05,,
5,-3.204E-05,-0.00022165,16.66666667,,5,0.1,5,0.272237741,-3.204E-05,,
5.1,-7.977E-05,-0.00023865,16.66666667,,5.1,0.1,5.1,0.272234537,-7.977E-05,,
5.2,-0.00012369,-0.0002196,16.66666667,,5.2,0.1,5.2,0.27222656,-0.00012369,,
5.3,-0.00016572,-0.00021015,16.66666667,,5.3,0.100000001,5.3,0.272214191,-0.00016572,,
5.4,-0.00021183,-0.00023055,16.66666667,,5.4,0.100000001,5.4,0.272197619,-0.00021183,,
5.5,-0.00026277,-0.0002547,16.66666667,,5.5,0.100000002,5.5,0.272176436,-0.00026277,,
5.6,-0.00030778,-0.00022505,16.66666667,,5.6,0.100000003,5.6,0.272150159,-0.00030778,,
5.7,-0.00035524,-0.0002373,16.66666667,,5.7,0.100000005,5.7,0.272119381,-0.00035524,,
5.8,-0.00040436,-0.0002456,16.66666667,,5.8,0.100000006,5.8,0.272083857,-0.00040436,,
5.9,-0.00045814,-0.0002689,16.66666667,,5.9,0.100000008,5.9,0.272043421,-0.00045814,,
6,-0.00050898,-0.0002542,16.66666667,,6,0.10000001,6,0.271997607,-0.00050898,,
6.1,-0.00055839,-0.00024705,16.66666667,,6.1,0.100000013,6.1,0.271946709,-0.00055839,,
6.2,-0.00060932,-0.00025465,16.66666667,,6.2,0.100000016,6.2,0.27189087,-0.00060932,,
6.3,-0.00065926,-0.0002497,16.66666667,,6.3,0.100000019,6.3,0.271829938,-0.00065926,,
6.4,-0.00071383,-0.00027285,16.66666667,,6.4,0.100000022,6.4,0.271764012,-0.00071383,,
6.5,-0.00076551,-0.0002584,16.66666667,,6.5,0.100000025,6.5,0.271692629,-0.00076551,,
6.6,-0.00081483,-0.0002466,16.66666667,,6.6,0.100000029,6.6,0.271616078,-0.00081483,,
6.7,-0.00086531,-0.0002524,16.66666667,,6.7,0.100000033,6.7,0.271534595,-0.00086531,,
6.8,-0.00091507,-0.0002488,16.66666667,,6.8,0.100000037,6.8,0.271448064,-0.00091507,,
6.9,-0.00096419,-0.0002456,16.66666667,,6.9,0.100000042,6.9,0.271356557,-0.00096419,,
7,-0.00101818,-0.00026995,16.66666667,,7,0.100000046,7,0.271260138,-0.00101818,,
7.1,-0.00106719,-0.00024505,16.66666667,,7.1,0.100000052,7.1,0.27115832,-0.00106719,,
7.2,-0.00111665,-0.0002473,16.66666667,,7.2,0.100000057,7.2,0.271051601,-0.00111665,,
7.3,-0.001165429,-0.0002439,16.66666667,,7.3,0.100000062,7.3,0.270939936,-0.001165429,,
7.4,-0.001212509,-0.0002354,16.66666667,,7.4,0.100000068,7.4,0.270823393,-0.001212509,,
7.5,-0.001259609,-0.000235499,16.66666667,,7.5,0.100000074,7.5,0.270702142,-0.001259609,,
