u,theta_d,rho,vel
0,0,0,5.555555556
2,0,0,5.555555556
4,0,0,5.555555556
6,0.02500067,0,5.555555556
8,0.049995235,0,5.555555556
10.10078641,0.074977593,0,5.555555556
10.20157244,0.099941642,0,5.555555556
10.30235769,0.124881288,0,5.555555556
10.40314178,0.124789768,-0.000908078,5.555555556
10.50392433,0.124667773,-0.001210473,5.555555556
10.60470496,0.124515331,-0.00151261,5.555555556
10.70548328,0.124332476,-0.00181443,5.555555556
10.80625892,0.124119249,-0.002115863,5.555555556
10.90703149,0.123875697,-0.002416848,5.555555556
11.00780064,0.123601875,-0.00271732,5.555555556
11.10856598,0.123297844,-0.003017212,5.555555556
11.20932715,0.122963674,-0.003316462,5.555555556
11.31008378,0.122599438,-0.003615006,5.555555556
11.41083554,0.122205219,-0.003912775,5.555555556
11.51158204,0.121781105,-0.004209711,5.555555556
11.61232297,0.121327193,-0.004505744,5.555555556
11.71305796,0.120843583,-0.004800809,5.555555556
11.81378668,0.120330386,-0.005094843,5.555555556
11.9145088,0.119787717,-0.005387782,5.555555556
12.01522401,0.1192157,-0.005679557,5.555555556
12.11593197,0.118614462,-0.005970106,5.555555556
12.21663239,0.117984142,-0.006259364,5.555555556
12.31732496,0.117324881,-0.006547266,5.555555556
12.41800938,0.116636829,-0.006833742,5.555555556
12.51868537,0.115920144,-0.00711873,5.555555556
12.61935265,0.115174988,-0.007402167,5.555555556
12.72001095,0.114401532,-0.007683982,5.555555556
12.82066001,0.113599951,-0.007964114,5.555555556
12.92129957,0.11277043,-0.008242494,5.555555556
13.02192939,0.111913159,-0.008519059,5.555555556
13.12254925,0.111028334,-0.008793741,5.555555556
13.22315891,0.110116158,-0.009066477,5.555555556
13.32375816,0.109176843,-0.009337197,5.555555556
13.42434679,0.108210605,-0.009605841,5.555555556
13.52492463,0.107217667,-0.009872336,5.555555556
13.62549148,0.106198259,-0.010136623,5.555555556
13.72604716,0.105152617,-0.010398633,5.555555556
13.82659153,0.104080985,-0.010658301,5.555555556
13.92712443,0.102983612,-0.010915563,5.555555556
14.02764572,0.101860753,-0.011170354,5.555555556
14.12815528,0.100712672,-0.011422603,5.555555556
14.22865299,0.099539638,-0.011672252,5.555555556
14.32913875,0.098341925,-0.011919231,5.555555556
14.42961246,0.097119815,-0.01216348,5.555555556
14.53007404,0.095873596,-0.012404931,5.555555556
14.63052343,0.094603562,-0.012643521,5.555555556
14.73096057,0.093310013,-0.012879184,5.555555556
14.83138542,0.091993257,-0.013111858,5.555555556
14.93179794,0.090653605,-0.01334148,5.555555556
15.03219812,0.089291377,-0.013567986,5.555555556
15.13258594,0.087906897,-0.013791315,5.555555556
15.23296141,0.086500496,-0.014011401,5.555555556
15.33332456,0.085072511,-0.014228184,5.555555556
15.4336754,0.083623284,-0.014441605,5.555555556
15.53401398,0.082153163,-0.014651599,5.555555556
15.63434035,0.080662503,-0.014858108,5.555555556
15.73465457,0.079151663,-0.015061075,5.555555556
15.83495673,0.077621009,-0.015260433,5.555555556
15.93524692,0.076070911,-0.015456128,5.555555556
16.03552523,0.074501745,-0.015648104,5.555555556
16.13579177,0.072913894,-0.0158363,5.555555556
16.23604668,0.071307744,-0.01602066,5.555555556
16.33629009,0.069683688,-0.016201129,5.555555556
16.43652214,0.068042122,-0.016377656,5.555555556
16.53674299,0.066383449,-0.016550181,5.555555556
16.63695282,0.064708075,-0.016718653,5.555555556
16.7371518,0.063016414,-0.016883018,5.555555556
16.83734013,0.061308882,-0.017043228,5.555555556
16.93751801,0.059585899,-0.017199228,5.555555556
17.03768565,0.057847893,-0.017350975,5.555555556
17.13784327,0.056095293,-0.017498417,5.555555556
17.2379911,0.054328535,-0.017641509,5.555555556
17.3381294,0.052548056,-0.017780198,5.555555556
17.4382584,0.0507543,-0.017914448,5.555555556
17.53837837,0.048947714,-0.018044212,5.555555556
17.63848959,0.047128749,-0.018169444,5.555555556
