u,theta_d,rho,vel
0,0,0,5.555555556
0.5,0,0,5.555555556
1,0,0,5.555555556
1.5,0,0,5.555555556
2,0,0,5.555555556
2.5,0,0,5.555555556
3,0,0,5.555555556
3.5,0,0,5.555555556
4,0,0,5.555555556
4.5,0,0,5.555555556
5,0,0,5.555555556
5.5,0,0,5.555555556
6,0,0,5.555555556
6.5,0,0,5.555555556
7,0,0,5.555555556
7.5,0,0,5.555555556
8,0,0,5.555555556
8.5,0,0,5.555555556
9,0,0,5.555555556
9.5,0,0,5.555555556
10,0,0,5.555555556
10.5,0,0,5.555555556
11,0,0,5.555555556
11.5,0,0,5.555555556
12,0,0,5.555555556
12.5,0,0,5.555555556
13,0,0,5.555555556
13.5,0,0,5.555555556
14,0,0,5.555555556
14.5,0,0,5.555555556
15,0,0,5.555555556
15.5,0,0,5.555555556
16,0,0,5.555555556
16.5,0,0,5.555555556
17,0,0,5.555555556
17.5,0,0,5.555555556
18,0,0,5.555555556
18.5,0,0,5.555555556
19,0,0,5.555555556
19.5,0,0,5.555555556
20,0,0,5.555555556
20.5,0,0,5.555555556
21,0,0,5.555555556
21.5,0,0,5.555555556
22,0,0,5.555555556
22.5,0,0,5.555555556
23,0,0,5.555555556
23.5,0,0,5.555555556
24,0,0,5.555555556
24.5,0,0,5.555555556
25,0,0,5.555555556
25.5,0,0,5.555555556
26,0,0,5.555555556
26.5,0,0,5.555555556
27,0,0,5.555555556
27.5,0,0,5.555555556
28,0,0,5.555555556
28.5,0,0,5.555555556
29,0,0,5.555555556
29.5,0,0,5.555555556
30,0,0,5.555555556
30.5,0,0,5.555555556
31,0,0,5.555555556
31.5,0,0,5.555555556
32,0,0,5.555555556
32.5,0,0,5.555555556
33,0,0,5.555555556
33.5,0,0,5.555555556
34,0,0,5.555555556
34.5,0,0,5.555555556
35,0,0,5.555555556
35.5,0,0,5.555555556
36,0,0,5.555555556
36.5,0,0,5.555555556
37,0,0,5.555555556
37.5,0,0,5.555555556
38,0,0,5.555555556
38.5,0,0,5.555555556
39,0,0,5.555555556
39.5,0,0,5.555555556
40,0,0,5.555555556
40.5,0,0,5.555555556
41,0,0,5.555555556
41.5,0,0,5.555555556
42,0,0,5.555555556
42.5,0,0,5.555555556
43,0,0,5.555555556
43.5,0,0,5.555555556
44,0,0,5.555555556
44.5,0,0,5.555555556
45,0,0,5.555555556
45.5,0,0,5.555555556
46,0,0,5.555555556
46.5,0,0,5.555555556
47,0,0,5.555555556
47.5,0,0,5.555555556
48,0,0,5.555555556
48.5,0,0,5.555555556
49,0,0,5.555555556
49.5,0,0,5.555555556
50,0,0,5.555555556
50.5,0,0,5.555555556
51,0,0,5.555555556
51.5,0,0,5.555555556
52,0,0,5.555555556
52.5,0,0,5.555555556
53,0,0,5.555555556
