u,theta_d_modi,rho_filtered,vel
0,0,0,8.333333333
1.982203389,-0.012727086,0,8.333333333
3.982204416,0.000305745,0.00E+00,8.333333333
5.98180446,-0.000856295,0,8.333333333
7.98160963,-0.002214036,0.000243815,8.333333333
9.98162554,-0.003120076,0.000248095,8.333333333
11.98144894,0.001086892,4.57E-05,8.333333333
13.98151151,0.002787221,9.54E-05,8.333333333
15.98151151,-3.99E-04,1.36E-04,8.333333333
17.98151273,-0.001261749,-3.50E-04,8.333333333
19.98151881,-0.001767498,-0.000421771,8.333333333
21.98152522,-0.002416495,2.13E-04,8.333333333
23.98154373,-0.001430246,0.000343972,8.333333333
25.9815438,0.001727994,-0.001460896,8.333333333
27.98156524,0.002177994,-0.006526037,8.333333333
29.98156758,-0.016361468,-0.013053833,8.333333333
31.97985223,-0.067622448,-0.019291635,8.333333333
33.97840776,-0.131899033,-0.024755203,8.333333333
35.97902013,-0.191102774,-0.028067833,8.333333333
37.97725556,-0.245258208,-0.028242216,8.333333333
39.9768721,-0.296921201,-0.027337414,8.333333333
41.9758926,-0.349960253,-0.027304045,8.333333333
43.97646701,-0.405183367,-0.027019738,8.333333333
45.97448101,-0.464024651,-0.022278972,8.333333333
47.97339173,-0.515344594,-0.011998205,8.333333333
49.97280768,-0.519617353,-0.000195582,8.333333333
51.9721113,-0.469868886,0.011883716,8.333333333
53.9715567,-0.407102571,0.023775663,8.333333333
55.9710817,-0.345230423,0.031400345,8.333333333
57.96936535,-0.27770081,0.033715645,8.333333333
59.96825785,-0.205763661,0.034703245,8.333333333
61.96732815,-0.132888638,0.034664377,8.333333333
63.96598335,-0.060270082,0.033339594,8.333333333
65.96512625,0.001224839,0.032785621,8.333333333
67.9645154,0.055521801,0.033077514,8.333333333
69.9628448,0.1219424,0.03282558,8.333333333
71.96343355,0.197731678,0.033224265,8.333333333
73.96047645,0.267812118,0.034289686,8.333333333
75.96036895,0.333291633,0.034410819,8.333333333
77.9589654,0.398231757,0.032217407,8.333333333
79.9577226,0.465822147,0.025418298,8.333333333
81.95577395,0.5196977,0.014290861,8.333333333
83.95692825,0.521867181,0.001762107,8.333333333
85.9554213,0.476135306,-0.010751932,8.333333333
87.9537204,0.415848006,-0.021489537,8.333333333
89.9543307,0.35836511,-0.026847434,8.333333333
91.9528068,0.304924942,-0.027987933,8.333333333
93.95175955,0.253516922,-0.028027198,8.333333333
