u,theta_d,rho,vel
0,0,0,13.88888889
0.079,0,0,13.88888889
10.079,0,0,13.88888889
20.079,0,0,13.88888889
30.079,0,0,13.88888889
40.079,0,0,13.88888889
50.079,0,0,13.88888889
60.079,0,0,13.88888889
70.079,0,0,13.88888889
80.079,0,0,13.88888889
90.079,0,0,13.88888889
100,0,0,13.88888889
110,0,0,13.88888889
120,0,0,13.88888889
130,0,0,13.88888889
140,0,0,13.88888889
150,0,0,13.88888889
160,0,0,13.88888889
170,0,0,13.88888889
180,0,0,13.88888889
190,0,0,13.88888889
200,0,0,13.88888889
205.1,0,0,13.88888889
207.1,0,0,13.88888889
209.1,0,-0.000666578,13.88888889
211.1,0,-0.002334355,13.88888889
213.1,-0.003999467,-0.005171624,13.88888889
215.1,-0.014006131,-0.008514803,13.88888889
217.1004,-0.031033147,-0.011868804,13.88888889
219.0999021,-0.055085698,-0.014564499,13.88888889
221.099143,-0.085204934,-0.016111865,13.88888889
223.099592,-0.118410167,-0.01667554,13.88888889
225.0992242,-0.151746774,-0.016594228,13.88888889
227.0997381,-0.185268103,-0.016696182,13.88888889
229.0995153,-0.217974374,-0.016490019,13.88888889
231.0990393,-0.251920754,-0.016786326,13.88888889
233.0990393,-0.284196494,-0.01661345,13.88888889
235.0998144,-0.318697616,-0.016781368,13.88888889
237.0971336,-0.351570695,-0.016491114,13.88888889
239.0999339,-0.384900546,-0.016697257,13.88888889
241.0993548,-0.4176373,-0.016588024,13.88888889
243.0976793,-0.451762744,-0.016810308,13.88888889
245.0962441,-0.48436718,-0.016715786,13.88888889
247.0955612,-0.518435487,-0.016820075,13.88888889
249.0970896,-0.552048078,-0.016643766,13.88888889
251.099835,-0.585347308,-0.016632442,13.88888889
253.1004599,-0.618379713,-0.016628547,13.88888889
255.0985089,-0.651865994,-0.016621764,13.88888889
257.0944809,-0.685029283,-0.016619813,13.88888889
259.0970882,-0.718053671,-0.016657468,13.88888889
261.0999414,-0.751608744,-0.016688642,13.88888889
263.0975212,-0.785024403,-0.016629221,13.88888889
265.0975934,-0.818194035,-0.016656232,13.88888889
267.0937119,-0.851280443,-0.016725931,13.88888889
269.0956582,-0.884931369,-0.016771859,13.88888889
271.0961322,-0.918525959,-0.016649821,13.88888889
273.0973371,-0.951972412,-0.016608953,13.88888889
275.0998168,-0.984899168,-0.016616922,13.88888889
277.0979409,-1.018209315,-0.01666601,13.88888889
279.0921736,-1.051586919,-0.016680032,13.88888889
281.0934871,-1.084789222,-0.01670672,13.88888889
283.0944559,-1.118230959,-0.01674502,13.88888889
285.0973278,-1.15191352,-0.016709628,13.88888889
287.0943266,-1.185273697,-0.016602907,13.88888889
289.0972946,-1.218536175,-0.016637145,13.88888889
291.0980767,-1.25154302,-0.016640558,13.88888889
293.0992004,-1.285177644,-0.016667643,13.88888889
295.0929155,-1.318306879,-0.016632765,13.88888889
