x,y,z,nx,ny,nz
0,0,0,0,0,1
5,0,0,0,0,1
10,0,0,0,0,1
15,0,0,0,0,1
20,0,0,0,0,1
25,0,0,0,0,1
30,0,0,0,0,1
35,0,0,0,0,1
40,0,0,0,0,1
45,0,0,0,0,1
50,0,0,0,0,1
51,0.188371559,0,0,0,1
52,0.375999701,0,0,0,1
53,0.562143944,0,0,0,1
54,0.746069661,0,0,0,1
55,0.927050983,0,0,0,1
56,1.104373658,0,0,0,1
57,1.277337875,0,0,0,1
58,1.445261022,0,0,0,1
59,1.607480385,0,0,0,1
60,1.763355757,0,0,0,1
61,1.912271969,0,0,0,1
62,2.053641318,0,0,0,1
63,2.186905882,0,0,0,1
64,2.311539728,0,0,0,1
65,2.427050983,0,0,0,1
66,2.532983777,0,0,0,1
67,2.62892004,0,0,0,1
68,2.714481157,0,0,0,1
69,2.789329458,0,0,0,1
70,2.853169549,0,0,0,1
71,2.905749483,0,0,0,1
72,2.946861752,0,0,0,1
73,2.976344104,0,0,0,1
74,2.994080185,0,0,0,1
75,3,0,0,0,1
76,2.994080185,0,0,0,1
77,2.976344104,0,0,0,1
78,2.946861752,0,0,0,1
79,2.905749483,0,0,0,1
80,2.853169549,0,0,0,1
81,2.789329458,0,0,0,1
82,2.714481157,0,0,0,1
83,2.62892004,0,0,0,1
84,2.532983777,0,0,0,1
85,2.427050983,0,0,0,1
86,2.311539728,0,0,0,1
87,2.186905882,0,0,0,1
88,2.053641318,0,0,0,1
89,1.912271969,0,0,0,1
90,1.763355757,0,0,0,1
91,1.607480385,0,0,0,1
92,1.445261022,0,0,0,1
93,1.277337875,0,0,0,1
94,1.104373658,0,0,0,1
95,0.927050983,0,0,0,1
96,0.746069661,0,0,0,1
97,0.562143944,0,0,0,1
98,0.375999701,0,0,0,1
99,0.188371559,0,0,0,1
100,3.67545E-16,0,0,0,1
101,-0.188371559,0,0,0,1
102,-0.375999701,0,0,0,1
103,-0.562143944,0,0,0,1
104,-0.746069661,0,0,0,1
105,-0.927050983,0,0,0,1
106,-1.104373658,0,0,0,1
107,-1.277337875,0,0,0,1
108,-1.445261022,0,0,0,1
109,-1.607480385,0,0,0,1
110,-1.763355757,0,0,0,1
111,-1.912271969,0,0,0,1
112,-2.053641318,0,0,0,1
113,-2.186905882,0,0,0,1
114,-2.311539728,0,0,0,1
115,-2.427050983,0,0,0,1
116,-2.532983777,0,0,0,1
117,-2.62892004,0,0,0,1
118,-2.714481157,0,0,0,1
119,-2.789329458,0,0,0,1
120,-2.853169549,0,0,0,1
121,-2.905749483,0,0,0,1
122,-2.946861752,0,0,0,1
123,-2.976344104,0,0,0,1
124,-2.994080185,0,0,0,1
125,-3,0,0,0,1
126,-2.994080185,0,0,0,1
127,-2.976344104,0,0,0,1
128,-2.946861752,0,0,0,1
129,-2.905749483,0,0,0,1
130,-2.853169549,0,0,0,1
131,-2.789329458,0,0,0,1
132,-2.714481157,0,0,0,1
133,-2.62892004,0,0,0,1
134,-2.532983777,0,0,0,1
135,-2.427050983,0,0,0,1
136,-2.311539728,0,0,0,1
137,-2.186905882,0,0,0,1
138,-2.053641318,0,0,0,1
139,-1.912271969,0,0,0,1
140,-1.763355757,0,0,0,1
141,-1.607480385,0,0,0,1
142,-1.445261022,0,0,0,1
143,-1.277337875,0,0,0,1
144,-1.104373658,0,0,0,1
145,-0.927050983,0,0,0,1
146,-0.746069661,0,0,0,1
147,-0.562143944,0,0,0,1
148,-0.375999701,0,0,0,1
149,-0.188371559,0,0,0,1
150,-7.35089E-16,0,0,0,1
150.7853659,-0.006168376,0,0,0,1
151.570538,-0.024671982,0,0,0,1
152.3553225,-0.055506252,0,0,0,1
153.139526,-0.098663579,0,0,0,1
153.9229548,-0.154133313,0,0,0,1
154.7054157,-0.22190177,0,0,0,1
155.4867156,-0.301952227,0,0,0,1
156.2666617,-0.394264934,0,0,0,1
157.0450616,-0.498817114,0,0,0,1
157.8217233,-0.61558297,0,0,0,1
158.596455,-0.744533692,0,0,0,1
159.3690657,-0.885637464,0,0,0,1
160.1393648,-1.038859469,0,0,0,1
160.9071621,-1.204161903,0,0,0,1
161.6722682,-1.38150398,0,0,0,1
162.4344944,-1.570841944,0,0,0,1
163.1936525,-1.772129077,0,0,0,1
163.9495553,-1.985315716,0,0,0,1
164.7020163,-2.21034926,0,0,0,1
165.4508497,-2.447174185,0,0,0,1
166.1958709,-2.695732059,0,0,0,1
166.936896,-2.955961552,0,0,0,1
167.6737422,-3.227798459,0,0,0,1
168.4062276,-3.511175706,0,0,0,1
169.1341716,-3.806023374,0,0,0,1
169.8573945,-4.112268716,0,0,0,1
170.5757179,-4.429836168,0,0,0,1
171.2889646,-4.758647377,0,0,0,1
171.9969585,-5.098621212,0,0,0,1
172.699525,-5.449673791,0,0,0,1
173.3964907,-5.811718496,0,0,0,1
174.0876837,-6.184665998,0,0,0,1
174.7729334,-6.568424278,0,0,0,1
175.4520708,-6.96289865,0,0,0,1
176.1249282,-7.367991782,0,0,0,1
176.7913397,-7.783603725,0,0,0,1
177.4511409,-8.209631932,0,0,0,1
178.1041689,-8.645971286,0,0,0,1
178.7502626,-9.092514129,0,0,0,1
179.3892626,-9.549150281,0,0,0,1
180.0210113,-10.01576708,0,0,0,1
180.6453527,-10.49224938,0,0,0,1
181.2621328,-10.97847963,0,0,0,1
181.8711995,-11.47433786,0,0,0,1
182.4724024,-11.97970172,0,0,0,1
183.0655933,-12.49444652,0,0,0,1
183.6506257,-13.01844525,0,0,0,1
184.2273553,-13.55156863,0,0,0,1
184.7956398,-14.09368511,0,0,0,1
185.3553391,-14.64466094,0,0,0,1
185.9063149,-15.20436017,0,0,0,1
186.4484314,-15.7726447,0,0,0,1
186.9815547,-16.34937432,0,0,0,1
187.5055535,-16.93440673,0,0,0,1
188.0202983,-17.52759758,0,0,0,1
188.5256621,-18.12880051,0,0,0,1
189.0215204,-18.73786718,0,0,0,1
189.5077506,-19.35464732,0,0,0,1
189.9842329,-19.97898873,0,0,0,1
190.4508497,-20.61073739,0,0,0,1
190.9074859,-21.2497374,0,0,0,1
191.3540287,-21.89583111,0,0,0,1
191.7903681,-22.5488591,0,0,0,1
192.2163963,-23.20866025,0,0,0,1
192.6320082,-23.87507176,0,0,0,1
193.0371014,-24.54792921,0,0,0,1
193.4315757,-25.22706658,0,0,0,1
193.815334,-25.91231629,0,0,0,1
194.1882815,-26.60350929,0,0,0,1
194.5503262,-27.30047501,0,0,0,1
194.9013788,-28.00304151,0,0,0,1
195.2413526,-28.71103542,0,0,0,1
195.5701638,-29.42428207,0,0,0,1
195.8877313,-30.14260547,0,0,0,1
196.1939766,-30.86582838,0,0,0,1
196.4888243,-31.59377237,0,0,0,1
196.7722015,-32.32625781,0,0,0,1
197.0440384,-33.06310399,0,0,0,1
197.3042679,-33.80412909,0,0,0,1
197.5528258,-34.54915028,0,0,0,1
197.7896507,-35.29798374,0,0,0,1
198.0146843,-36.0504447,0,0,0,1
198.2278709,-36.8063475,0,0,0,1
198.4291581,-37.56550564,0,0,0,1
198.618496,-38.32773181,0,0,0,1
198.7958381,-39.09283793,0,0,0,1
198.9611405,-39.86063523,0,0,0,1
199.1143625,-40.63093427,0,0,0,1
199.2554663,-41.40354499,0,0,0,1
199.384417,-42.17827675,0,0,0,1
199.5011829,-42.9549384,0,0,0,1
199.6057351,-43.73333832,0,0,0,1
199.6980478,-44.51328445,0,0,0,1
199.7780982,-45.29458433,0,0,0,1
199.8458667,-46.07704521,0,0,0,1
199.9013364,-46.86047402,0,0,0,1
199.9444937,-47.64467746,0,0,0,1
199.975328,-48.42946205,0,0,0,1
199.9938316,-49.21463413,0,0,0,1
200,-50,0,0,0,1
199.9938316,-50.78536587,0,0,0,1
199.975328,-51.57053795,0,0,0,1
199.9444937,-52.35532254,0,0,0,1
199.9013364,-53.13952598,0,0,0,1
199.8458667,-53.92295479,0,0,0,1
199.7780982,-54.70541567,0,0,0,1
199.6980478,-55.48671555,0,0,0,1
199.6057351,-56.26666168,0,0,0,1
199.5011829,-57.0450616,0,0,0,1
199.384417,-57.82172325,0,0,0,1
199.2554663,-58.59645501,0,0,0,1
199.1143625,-59.36906573,0,0,0,1
198.9611405,-60.13936477,0,0,0,1
198.7958381,-60.90716207,0,0,0,1
198.618496,-61.67226819,0,0,0,1
198.4291581,-62.43449436,0,0,0,1
198.2278709,-63.1936525,0,0,0,1
198.0146843,-63.9495553,0,0,0,1
197.7896507,-64.70201626,0,0,0,1
197.5528258,-65.45084972,0,0,0,1
197.3042679,-66.19587091,0,0,0,1
197.0440384,-66.93689601,0,0,0,1
196.7722015,-67.67374219,0,0,0,1
196.4888243,-68.40622763,0,0,0,1
196.1939766,-69.13417162,0,0,0,1
195.8877313,-69.85739453,0,0,0,1
195.5701638,-70.57571793,0,0,0,1
195.2413526,-71.28896458,0,0,0,1
194.9013788,-71.99695849,0,0,0,1
194.5503262,-72.69952499,0,0,0,1
194.1882815,-73.39649071,0,0,0,1
193.815334,-74.08768371,0,0,0,1
193.4315757,-74.77293342,0,0,0,1
193.0371014,-75.45207079,0,0,0,1
192.6320082,-76.12492824,0,0,0,1
192.2163963,-76.79133975,0,0,0,1
191.7903681,-77.4511409,0,0,0,1
191.3540287,-78.10416889,0,0,0,1
190.9074859,-78.7502626,0,0,0,1
190.4508497,-79.38926261,0,0,0,1
189.9842329,-80.02101127,0,0,0,1
189.5077506,-80.64535268,0,0,0,1
189.0215204,-81.26213282,0,0,0,1
188.5256621,-81.87119949,0,0,0,1
188.0202983,-82.47240242,0,0,0,1
187.5055535,-83.06559327,0,0,0,1
